ax, ay, az, gx, gy, gz, temp
-2360,2388,15628,799,13541,-2120,268438473
-2632,2680,16552,-146,14322,-2955,268438473
-3020,2464,16328,-755,15824,-3035,268438473
-4060,2096,14904,59,15537,-1624,268438473
-5032,2348,14612,1086,13491,-459,268438473
-6044,2404,15104,597,14453,-1097,268438473
-6628,2452,14972,-507,17977,-2925,268438473
-7264,2136,14124,-1027,18168,-3426,268438473
-7344,1692,13068,-317,15256,-2119,268438473
-8908,1692,12892,-69,12397,-1149,268438473
-9808,2056,13120,-569,13056,-2574,268438473
-9192,1788,12220,-523,15037,-2853,268438473
-10056,1432,11076,104,12170,-1156,268438473
-11056,1400,11136,1036,9479,-982,268438473
-11604,1848,11536,135,10997,-2077,268438473
-11548,1748,10440,-789,13604,-3253,268438473
-12252,1164,9452,-213,13655,-3308,268438473
-12628,1076,8836,293,13821,-3313,268438473
-13000,1484,8972,435,14338,-3404,268438473
-13184,956,8344,-468,16235,-3320,268438473
-13580,628,6604,-323,15868,-2522,268438473
-14656,960,6140,-19,15433,-2191,268438473
-15176,924,5980,-799,18117,-4209,268438473
-14740,660,4788,-1540,20592,-6106,268438473
-14688,-76,3196,-1837,21609,-6190,268438473
-15192,-1112,1704,-1241,19307,-4950,268438473
-15904,-1200,748,-709,17415,-3930,268438473
-15756,-844,-368,-1001,16948,-3084,268438473
-14932,-1432,-1212,-882,15217,-2254,268438473
-15360,-1464,-1704,-394,11963,-977,268438473
-15360,-1316,-2284,-796,10723,-897,268438473
-15720,-1184,-3428,-492,9737,-748,268438473
-16104,-1240,-3780,-17,7884,-902,268438473
-15564,-1292,-3864,-43,6804,-1011,268438473
-15840,-1384,-4704,-199,5694,-985,268438473
-15152,-1388,-4896,-150,3211,-439,268438473
-15628,-1464,-5004,-219,195,109,268438473
-15180,-1272,-5108,-358,-2999,-99,268438473
-14948,-1404,-5172,-14,-4842,420,268438473
-15380,-1488,-4388,253,-6283,783,268438473
-15700,-1516,-4020,287,-9493,911,268438473
-15708,-1516,-3776,459,-12955,1168,268438473
-16172,-1256,-2896,798,-15631,1864,268438473
-16016,-1292,-1632,486,-18287,1476,268438473
-15604,-1400,-544,501,-21398,1247,268438473
-16216,-1172,552,977,-23953,1372,268438473
-15696,-920,2020,253,-25856,906,268438473
-14588,-1112,3072,290,-27126,1044,268438473
-14924,-584,4736,1187,-29538,1950,268438473
-14576,-520,7048,1283,-30175,1959,268438473
-12776,-812,7900,139,-30503,2519,268438473
-11692,-468,8688,1488,-31451,3028,268438473
-11220,756,11540,2011,-26841,2091,268438473
-10564,-212,12396,-31,-24475,1207,268438473
-9000,-352,11948,-96,-24737,670,268438473
-7524,-384,13168,463,-23015,734,268438473
-6812,224,13700,743,-19695,1391,268438473
-6580,104,14228,1417,-16094,1629,268438473
-5860,256,14896,1059,-16117,919,268438473
-4592,480,15332,-482,-13115,386,268438473
-3700,68,14704,-1725,-10892,396,268438473
-2944,-68,14184,-153,-12657,976,268438473
-3092,56,15680,1394,-14123,1470,268438473
-2648,536,16140,2400,-15340,1255,268438473
-1364,640,16060,2500,-16208,830,268438473
-548,796,16208,2554,-16910,610,268438473
244,752,16304,3175,-18886,541,268438473
1644,1288,16228,2864,-19224,782,268438473
2028,1168,16300,2442,-18629,778,268438473
3056,1124,16512,2939,-19133,841,268438473
4432,1528,15868,3181,-17826,724,268438473
5300,1540,15492,2519,-15263,442,268438473
5980,1856,15492,1547,-13796,432,268438473
6660,1796,15412,624,-15371,1060,268438473
7296,1896,14716,-227,-16161,866,268438473
8064,1600,14536,-608,-16053,969,268438473
8560,1520,14056,-671,-14606,491,268438473
9028,1524,12808,-14,-17021,876,268438473
11256,1204,13684,1774,-13835,-172,268438473
10700,1872,12832,1938,-7533,854,268438473
10916,1608,11924,1039,-10715,2320,268438473
10796,1436,10900,1944,-12691,1931,268438473
12024,1436,11588,2714,-10477,511,268438473
12192,2056,11048,1753,-9913,-285,268438473
12188,2064,10728,765,-12729,-421,268438473
12968,2096,9608,743,-14176,-633,268438473
14076,1996,9320,1398,-13869,-800,268438473
13936,2108,8344,1286,-15531,148,268438473
14392,2000,7592,1229,-18537,161,268438473
15768,2112,7004,1234,-18604,-571,268438473
15624,2080,6896,418,-13876,-896,268438473
14404,2284,4772,309,-17934,161,268438473
15572,1596,3820,602,-17986,222,268438473
16064,1640,2868,1724,-13280,716,268438473
16556,2420,2428,1896,-12536,1347,268438473
16196,1560,2056,1624,-11074,2308,268438473
16664,2012,1900,1732,-9251,1537,268438473
17160,1740,1668,1755,-7354,1692,268438473
17136,1612,1028,1563,-6281,1890,268438473
16956,1764,428,1414,-5699,1660,268438473
16732,1632,200,1371,-6350,2146,268438473
16964,1460,72,1239,-6833,1904,268438473
16732,1564,224,477,-6686,1460,268438473
17080,1356,168,-323,-4819,1241,268438473
17372,1176,232,-1145,-536,994,268438473
17180,1176,0,-2287,4700,608,268438473
16868,1112,-172,-2860,8915,2,268438473
16944,852,512,-2774,14574,-700,268438473
16668,1028,544,-1919,16800,-2372,268438473
16196,432,2136,-1991,23202,-2554,268438473
16172,1244,3992,-1798,27933,-1452,268438473
16000,1436,5976,-2672,31232,661,268438473
15584,1440,7448,-4317,32767,794,268438473
14936,1964,8896,-5151,32767,2487,268438473
13104,1160,9632,-5000,32767,2413,268438473
12420,648,10568,-2934,31924,924,268438473
11148,872,12324,-2157,32767,-122,268438473
8892,680,14440,-2413,32767,-304,268438473
7304,308,14360,-1494,32767,-1604,268438473
5900,312,14648,-117,32767,-3233,268438473
4084,1032,15404,610,32767,-2791,268438473
