ax, ay, az, gx, gy, gz, temp
-7948,-1052,32767,-14994,4694,-16004,268438473
3944,-7888,15272,-24384,6804,-18134,268438473
14196,-13560,1928,-9596,-1104,1386,268438473
10752,-9968,1272,7551,-8718,19188,268438473
-2916,-4000,10972,17650,-95,20371,268438473
-17232,-568,29536,18626,13841,1915,268438473
4248,-5876,21468,-16896,8918,-24601,268438473
13856,-12472,-6272,-21592,-22350,2650,268438473
7740,-8036,-1604,-760,-21490,21216,268438473
-13336,-3544,13168,18315,4266,11642,268438473
-19712,16,29928,11630,10047,-15919,268438473
-7536,-1760,24856,-3618,6911,-31036,268438473
25148,-10268,10652,-14520,-17620,-10174,268438473
19184,-9756,6356,-3824,-21493,22469,268438473
-2008,-4504,10160,5931,2849,24258,268438473
-17988,-1992,19572,7100,4085,4830,268438473
-15488,-496,22548,-637,5220,-21659,268438473
2916,-9220,16356,-4801,6136,-31056,268438473
26272,-15848,8716,-7809,-21502,1539,268438473
11476,-8704,8488,908,-9722,25692,268438473
-6472,-4216,12032,7511,2436,19752,268438473
-16712,-1640,22248,8435,7319,-852,268438473
-11324,-260,21720,-57,7323,-21404,268438473
12144,-9584,13432,-5629,-2606,-23759,268438473
18980,-15552,8948,-4786,-21093,9186,268438473
4856,-9432,7680,556,-8089,21638,268438473
-8280,-6560,11128,6903,3989,10928,268438473
-11656,-2248,20992,8833,13253,-8854,268438473
-7004,-1200,19972,2083,10401,-20937,268438473
14804,-9464,13164,-4554,-8572,-6753,268438473
7008,-9464,11744,1852,-3645,6517,268438473
2064,-8120,14068,3093,-697,4478,268438473
1776,-7172,15804,2770,1093,3940,268438473
836,-6156,14604,3187,679,3788,268438473
604,-5456,14128,3843,733,2322,268438473
664,-5704,14708,3634,500,904,268438473
1124,-5948,15460,3292,394,635,268438473
332,-5872,15480,3690,1219,713,268438473
60,-5892,15244,4019,1088,439,268438473
788,-5484,15348,4796,1499,204,268438473
596,-5288,15192,5522,2812,577,268438473
104,-4480,15336,6419,2074,907,268438473
-316,-4200,16444,5522,459,661,268438473
1016,-4276,19444,3550,-875,-182,268438473
456,-2408,25416,-3102,-2130,1893,268438473
-1604,-2056,27512,-21328,-101,-1474,268438473
832,-1584,19328,-32768,-5153,-4937,268438473
2480,-5808,-552,-32768,-14083,-1338,268438473
4788,-11224,-9100,-18622,-14408,2224,268438473
-4804,-13504,-9748,18017,15449,3036,268438473
-3100,-4644,-164,32767,8077,3008,268438473
332,3168,32767,32767,-1518,-4368,268438473
800,-672,32767,-8970,904,-2838,268438473
-1364,-5892,19740,-27971,-4646,-2712,268438473
2856,-8804,9228,-19397,-1321,-3764,268438473
6172,-10884,3764,-8548,-4548,-903,268438473
4956,-9948,1412,6439,-3438,3180,268438473
1500,-6800,6228,19971,2627,4150,268438473
-708,-3560,14244,26562,3999,1060,268438473
2416,-1132,27924,18117,-866,1080,268438473
-1080,-1204,32767,-6000,2291,1952,268438473
-3744,-2388,26580,-22912,805,-3672,268438473
804,-5164,18800,-26598,1125,-7362,268438473
4516,-8264,12404,-27505,271,-3610,268438473
3964,-10552,2092,-21783,-441,-527,268438473
3924,-11240,-4356,-9109,-8061,2337,268438473
2724,-9824,-2580,10443,-6248,2859,268438473
992,-7560,4020,31506,7327,298,268438473
2052,-2836,15168,32767,1996,-902,268438473
4060,-1544,29436,23441,-3485,531,268438473
456,-2892,32767,-5001,895,1856,268438473
-260,-4080,26896,-19139,3509,-1775,268438473
916,-5232,18376,-26097,4170,-1503,268438473
2324,-8048,11752,-26057,5037,251,268438473
1424,-9156,852,-21929,168,825,268438473
1924,-11436,-5500,-8645,-13181,774,268438473
3832,-9620,1452,14278,-4602,717,268438473
1792,-8196,7428,32767,7373,-1333,268438473
3176,-676,21224,32767,2748,1776,268438473
2260,-1404,32767,17540,2868,3368,268438473
-2476,-1716,32767,-13756,-4246,1748,268438473
-2556,-2908,24812,-28290,-3843,-1568,268438473
864,-6396,16356,-30595,716,-2208,268438473
2764,-8368,8020,-27887,3116,-516,268438473
2016,-10448,-4756,-23489,-7343,246,268438473
4016,-10984,-6840,-4025,-16235,2116,268438473
3264,-9804,-2544,24022,4998,1993,268438473
340,-4352,8020,32767,11665,1613,268438473
1944,-2656,25860,32767,2866,791,268438473
1732,-1204,32767,4748,5276,1485,268438473
-644,-1688,32767,-30258,-4219,2162,268438473
-3076,-6468,16780,-32768,-5455,175,268438473
212,-9176,8668,-28425,635,-4004,268438473
3036,-12048,-2824,-21100,-5824,-5813,268438473
4900,-12256,-8340,-4604,-9669,-1740,268438473
1088,-10208,-2648,21053,4758,2030,268438473
-220,-5148,5724,32767,11349,1675,268438473
3944,-912,26448,32767,2677,609,268438473
292,-1596,32767,3776,7690,3804,268438473
-5620,-4144,25204,-24171,-2571,713,268438473
